model,lower,rating,upper,error_y,error_y_minus,rating_rounded,ROC-AUC,Loss,Avg. Error,Average Precision,Pearson R,Spearman R,R^2,MSE,MAE
Llama3-8B-Frags-Chem,992.9361703483057,995.2191561437576,998.1630205168839,2.943864373126303,2.28298579545185,995.22,85.33636273133858,0.34380703317695804,0.4762859705321194,72.08597591489017,0.6537660000814675,0.6589068587593289,0.406487897667548,1.0651234550634017,0.7486028504081469
Llama3.1-8B-Generic,991.8198143274249,994.85123972408,996.9812764457062,2.1300367216261975,3.031425396655095,994.85,85.33055002293727,0.34311814198100404,0.4760545056449557,72.23062181870044,0.6518533540916903,0.6572306649912004,0.40553699423995665,1.062291800069652,0.7481744740965864
MistralNeMo-12B-Frags-Quant,992.3474794414694,994.45990634712,997.0031013816928,2.5431950345728183,2.1124269056505227,994.46,85.19358411408014,0.34426723304365847,0.4762936520502504,72.14250443586897,0.6505228274185219,0.6546026543828263,0.40319811436506175,1.0648948428650706,0.7486945955472014
Llama3-70B-Frags-Drug,992.0681151951579,994.3094514096555,997.3737376402635,3.0642862306079905,2.241336214497551,994.31,85.58972409249459,0.3421961332951442,0.4776216931390395,72.26979843102558,0.6499464798298041,0.6546513222851711,0.40194525315765955,1.0727233520445025,0.7513017655572826
Gemma2-27B-Drug,991.3079707479153,994.0845719182537,997.071645388265,2.987073470011296,2.776601170338381,994.08,85.33229838434227,0.3442448492040262,0.47291050542888263,72.06738525348413,0.6533207931419649,0.6588615541337559,0.4092601785786628,1.0449509164892767,0.7409892503481894
Llama3-70B-Quant,991.3591898868353,993.3426333540559,995.4747814678921,2.132148113836138,1.9834434672205816,993.34,85.24085944252082,0.34393951797717576,0.4738564014880446,72.10917298610738,0.6537482018253647,0.6572162263984077,0.40779894762448693,1.0549972955020173,0.744935084808625
Llama3-8B-Frags-Drug,990.8413499886716,993.3148675904391,995.6685506607195,2.35368307028034,2.4735176017675258,993.31,85.35216979037433,0.34310599740424547,0.47669400253402183,72.14410847786095,0.6522581420996831,0.6561824673021762,0.4062270398446662,1.0638860172572682,0.747952421326768
Gemma2-9B-Generic,989.5552840596671,992.9682112443595,997.3942203381378,4.426009093778248,3.412927184692421,992.97,85.41222795718235,0.34373113989362303,0.47612429844935245,72.08492166034645,0.6500240733480829,0.6539379655218677,0.40376338884929336,1.0671081938268838,0.748058519819503
Llama3.1-8B-Chem,990.4773882711556,992.1337060224528,995.4876361897976,3.3539301673448563,1.6563177512971379,992.13,85.42507145501878,0.3440088450356058,0.4753361586525252,72.21354201836706,0.6520332714752038,0.657789165064479,0.4059638392906797,1.0590779424578112,0.7459916413618075
MolInstructions_molecule,987.8090005163201,992.0589526342976,995.9385419199549,3.879589285657289,4.2499521179775,992.06,85.74703692324289,0.34230652028154196,0.47720362000090977,72.59417817893751,0.6496029875683325,0.6537066280956998,0.4021254111234024,1.070442553678047,0.7500352588512024
Llama3.1-70B-Frags-Bio,988.8967621854972,990.8859694932189,994.4107836939428,3.524814200723881,1.9892073077216992,990.89,85.37939733765865,0.34336823659548776,0.4768930578468373,72.17057668224403,0.64873347191228,0.6528250368391956,0.4010456930290377,1.0745428197580889,0.7511009214260872
Llama3-8B-Generic,986.1969071520566,990.8173684611597,995.029157359952,4.2117888987922925,4.620461309103121,990.82,85.34852348642342,0.3444615330101721,0.4757662446795226,72.22676177870996,0.6496269767077651,0.6555847040156801,0.40467072304408436,1.062076424087808,0.7471552177768401
Llama3-70B-Frags-Chem,986.9671093541889,990.4751582763743,992.5430886036635,2.0679303272892184,3.508048922185367,990.48,85.2951119094612,0.3445805778521256,0.47752367711258437,72.27787336515648,0.6512924197919984,0.6555465745866477,0.40315517513193455,1.0700807507137462,0.7498274921500664
Llama3-70B-Frags-Quant,987.8123506791314,990.335469936847,992.5517600741013,2.2162901372543047,2.523119257715507,990.34,85.35452874646036,0.34385881121932854,0.4752710465166034,72.13904092954027,0.6536935051379101,0.6575294616342391,0.40585289114034534,1.064965865193419,0.7477284485909991
Llama3-8B-Frags-Quant,987.4190564559727,990.2211833622223,992.2728387660474,2.051655403825066,2.802126906249555,990.22,85.3746402516127,0.34393771512546406,0.4759260947171272,72.17145139970546,0.6545911837580368,0.6597775342479405,0.40700813100806854,1.0636285297374126,0.7477745781551389
Llama3.1-8B-Quant,985.1811038538328,990.0168203157207,991.9537265362686,1.9369062205479395,4.835716461887841,990.02,85.51084765357824,0.3433280848012753,0.47552920049797454,72.33852438187074,0.6501015818223072,0.6547808906382983,0.40320907373123516,1.0671792134812348,0.7479596982116051
Llama3-8B-Frags-Generic,986.2071728209283,989.0733653854038,990.8748217077349,1.8014563223310915,2.8661925644754547,989.07,85.2711577482062,0.34662974559751747,0.47701577407073203,72.03510236491758,0.6515566005011577,0.6578078010632384,0.404425141265163,1.0689077476853717,0.7492399899178998
Llama3.1-70B-Frags-Drug,986.5952183961894,988.0480383673075,992.1906102409391,4.142571873631596,1.4528199711181742,988.05,85.33219182539956,0.34367721999579415,0.47714311213855004,72.13168625822007,0.6495643772669865,0.6537400434078511,0.4026794717562349,1.072621997117189,0.7496364284714375
Llama3-8B-Chem,984.3425240002572,987.6643210250288,991.0946238665023,3.4303028414734626,3.3217970247716266,987.66,85.35881858905952,0.34353521774962087,0.47513728467301086,72.08318075602543,0.6509260035315645,0.6562129082457312,0.40511093067467474,1.0589269113799809,0.7456232844140634
Llama3-70B-Frags-Bio,980.2753384268177,985.9383064124893,988.7814566133187,2.8431502008294274,5.662967985671571,985.94,85.38945013812561,0.34270632209646334,0.47715560052708483,72.16777295276096,0.6498477103671559,0.6533328925358189,0.402493087399208,1.0737122875266403,0.7510074188812609
Llama3-8B-Bio,983.5344683885237,985.6362687370481,988.2839600570588,2.647691320010722,2.1018003485244208,985.64,85.4558405539792,0.3431591163370336,0.4742588380975186,72.2654221488641,0.6500912294183627,0.6563518391815866,0.40487213792175836,1.06352412220599,0.7460203808332301
Gemma2-9B-Quant,982.2238682162845,984.2991475216832,986.4576742000094,2.1585266783262114,2.0752793053986807,984.3,85.32887876693529,0.34363552550009147,0.4758332208870995,72.1098743981015,0.6504701024107887,0.6540486986105036,0.4041563270202089,1.0629772869640883,0.7485491117305824
Gemma2-9B-Drug,980.8551690841127,984.0550417187847,986.668124235551,2.613082516766326,3.1998726346719195,984.06,85.26577935192257,0.34446389329010807,0.4770051059689469,72.26169110263055,0.6494529639210245,0.6543024332443781,0.4028673582998048,1.068029442686079,0.7497098605711489
Gemma2-27B-Frags-Chem,980.3595434056517,983.2505498839791,984.5003833383748,1.2498334543956844,2.8910064783274265,983.25,85.3190199237667,0.3453958386518458,0.4779822778969013,72.13557283333508,0.6474087235581693,0.6513644075438552,0.3997017724977161,1.0778645002356302,0.7525556436341081
Llama3.1-70B-Frags-Quant,981.3470811266282,983.0177499945415,987.5623610374531,4.544611042911583,1.6706688679133777,983.02,85.18528919298807,0.34406363859662314,0.47662394743820763,72.08763866970531,0.6518257557186402,0.6567129878360554,0.40515548549880065,1.068553323012405,0.7490824031475536
